lettre,min,maj,script_min,script_maj,gothique_min,gothique_maj
a,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
b,(1;0),(1;0),(1;0),(1;0),(1;0),(1;0)
c,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
d,(1;0),(1;0),(1;0),(1;0),(1;0),(1;0)
e,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
f,(1;0),(1;0),(1;1),(1;0),(1;0),(1;0)
g,(0;1),(1;0),(0;1),(1;1),(0;1),(1;0)
h,(1;0),(1;0),(1;0),(1;0),(1;0),(1;0)
i,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
j,(0;1),(1;0),(0;1),(1;0),(0;1),(1;0)
k,(1;0),(1;0),(1;0),(1;0),(1;0),(1;0)
l,(1;0),(1;0),(1;0),(1;0),(1;0),(1;0)
m,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
n,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
o,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
p,(0;1),(1;0),(0;1),(1;0),(0;1),(1;0)
q,(0;1),(1;0),(0;1),(1;0),(0;1),(1;0)
r,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
s,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
t,(1;0),(1;0),(1;0),(1;0),(1;0),(1;0)
u,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
v,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
w,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
x,(0;0),(1;0),(0;0),(1;0),(0;0),(1;0)
y,(0;1),(1;0),(0;1),(1;1),(0;1),(1;1)
z,(0;0),(1;0),(0;0),(1;0),(0;1),(1;0)
